       101830.000000       101660.000000       101560.000000       101500.000000       101360.000000       101290.000000       101340.000000       101380.000000       101350.000000       101280.000000       101230.000000       101210.000000       101140.000000       101080.000000       101010.000000       100910.000000       100860.000000       101840.000000       101540.000000       101340.000000       101350.000000       101380.000000       101420.000000       101520.000000       101550.000000       101390.000000       101230.000000       101140.000000       101080.000000       101000.000000       100960.000000       100910.000000       100750.000000       100600.000000       101920.000000       101540.000000       101330.000000       101390.000000       101420.000000       101400.000000       101390.000000       101330.000000       101250.000000       101180.000000       101150.000000       101090.000000       101050.000000       101080.000000       101060.000000       100980.000000       100870.000000       102120.000000       101900.000000       101800.000000       101800.000000       101680.000000       101420.000000       101210.000000       101140.000000       101170.000000       101200.000000       101190.000000       101230.000000       101330.000000       101350.000000       101290.000000       101320.000000       101300.000000       102150.000000       102070.000000       101990.000000       101910.000000       101770.000000       101550.000000       101370.000000       101320.000000       101300.000000       101250.000000       101280.000000       101420.000000       101530.000000       101520.000000       101460.000000       101430.000000       101340.000000       101990.000000       101970.000000       101890.000000       101740.000000       101560.000000       101390.000000       101270.000000       101250.000000       101280.000000       101300.000000       101350.000000       101480.000000       101570.000000       101560.000000       101530.000000       101430.000000       101190.000000       101730.000000       101740.000000       101620.000000       101410.000000       101240.000000       101210.000000       101220.000000       101210.000000       101260.000000       101370.000000       101490.000000       101580.000000       101620.000000       101600.000000       101530.000000       101380.000000       101170.000000       101410.000000       101450.000000       101320.000000       101140.000000       101080.000000       101180.000000       101290.000000       101360.000000       101440.000000       101570.000000       101700.000000       101770.000000       101760.000000       101680.000000       101540.000000       101370.000000       101230.000000       101130.000000       101210.000000       101150.000000       101080.000000       101150.000000       101330.000000       101490.000000       101580.000000       101670.000000       101790.000000       101920.000000       101960.000000       101900.000000       101790.000000       101630.000000       101450.000000       101290.000000       100840.000000       100960.000000       100960.000000       101020.000000       101210.000000       101430.000000       101580.000000       101640.000000       101690.000000       101800.000000       101920.000000       101960.000000       101900.000000       101780.000000       101620.000000       101460.000000       101330.000000       100570.000000       100710.000000       100820.000000       100990.000000       101230.000000       101440.000000       101530.000000       101470.000000       101390.000000       101440.000000       101620.000000       101760.000000       101760.000000       101660.000000       101490.000000       101340.000000       101250.000000
       101380.000000       101230.000000       101290.000000       101460.000000       101540.000000       101570.000000       101570.000000       101570.000000       101620.000000       101650.000000       101640.000000       101630.000000       101570.000000       101540.000000       101420.000000       101120.000000       100890.000000       101620.000000       101540.000000       101610.000000       101810.000000       101890.000000       101920.000000       101920.000000       101840.000000       101650.000000       101500.000000       101430.000000       101450.000000       101500.000000       101550.000000       101460.000000       101140.000000       100860.000000       101870.000000       101670.000000       101790.000000       102070.000000       102120.000000       102030.000000       101860.000000       101670.000000       101530.000000       101410.000000       101340.000000       101360.000000       101480.000000       101610.000000       101620.000000       101480.000000       101310.000000       102330.000000       102230.000000       102320.000000       102440.000000       102350.000000       102030.000000       101630.000000       101380.000000       101340.000000       101350.000000       101290.000000       101300.000000       101440.000000       101600.000000       101730.000000       101860.000000       101880.000000       102610.000000       102660.000000       102670.000000       102640.000000       102540.000000       102310.000000       101980.000000       101690.000000       101540.000000       101460.000000       101420.000000       101440.000000       101480.000000       101530.000000       101660.000000       101830.000000       101950.000000       102400.000000       102510.000000       102570.000000       102570.000000       102510.000000       102390.000000       102250.000000       102110.000000       101970.000000       101800.000000       101640.000000       101550.000000       101520.000000       101530.000000       101590.000000       101650.000000       101650.000000       101990.000000       102060.000000       102140.000000       102220.000000       102260.000000       102240.000000       102140.000000       101960.000000       101760.000000       101580.000000       101460.000000       101440.000000       101500.000000       101610.000000       101710.000000       101700.000000       101610.000000       101470.000000       101450.000000       101460.000000       101560.000000       101720.000000       101840.000000       101850.000000       101720.000000       101550.000000       101440.000000       101480.000000       101620.000000       101760.000000       101840.000000       101840.000000       101770.000000       101640.000000       100900.000000       100840.000000       100820.000000       100920.000000       101140.000000       101370.000000       101540.000000       101580.000000       101570.000000       101620.000000       101770.000000       101960.000000       102050.000000       102020.000000       101910.000000       101780.000000       101660.000000        99930.000000        99940.000000       100030.000000       100260.000000       100600.000000       100960.000000       101260.000000       101440.000000       101540.000000       101640.000000       101790.000000       101950.000000       102040.000000       102020.000000       101920.000000       101810.000000       101700.000000        99150.000000        99250.000000        99480.000000        99840.000000       100270.000000       100710.000000       101070.000000       101270.000000       101320.000000       101370.000000       101510.000000       101700.000000       101850.000000       101900.000000       101840.000000       101750.000000       101680.000000
       101190.000000       101160.000000       101350.000000       101650.000000       101750.000000       101760.000000       101750.000000       101700.000000       101630.000000       101520.000000       101390.000000       101330.000000       101290.000000       101300.000000       101240.000000       100990.000000       100760.000000       101450.000000       101510.000000       101730.000000       102070.000000       102200.000000       102150.000000       102030.000000       101860.000000       101670.000000       101510.000000       101380.000000       101270.000000       101180.000000       101180.000000       101180.000000       100940.000000       100640.000000       101610.000000       101640.000000       101890.000000       102200.000000       102270.000000       102140.000000       101900.000000       101740.000000       101690.000000       101630.000000       101460.000000       101270.000000       101200.000000       101220.000000       101250.000000       101140.000000       100930.000000       101970.000000       102030.000000       102260.000000       102440.000000       102420.000000       102180.000000       101850.000000       101700.000000       101760.000000       101750.000000       101590.000000       101510.000000       101480.000000       101340.000000       101240.000000       101330.000000       101400.000000       102530.000000       102600.000000       102710.000000       102750.000000       102680.000000       102490.000000       102250.000000       102080.000000       102010.000000       101930.000000       101850.000000       101760.000000       101590.000000       101380.000000       101310.000000       101470.000000       101650.000000       102710.000000       102760.000000       102810.000000       102800.000000       102710.000000       102610.000000       102530.000000       102490.000000       102420.000000       102270.000000       102050.000000       101810.000000       101580.000000       101460.000000       101540.000000       101640.000000       101650.000000       102530.000000       102520.000000       102530.000000       102500.000000       102440.000000       102420.000000       102410.000000       102330.000000       102190.000000       102070.000000       101950.000000       101790.000000       101630.000000       101590.000000       101670.000000       101700.000000       101660.000000       102130.000000       102030.000000       101940.000000       101870.000000       101850.000000       101900.000000       101960.000000       101920.000000       101790.000000       101660.000000       101600.000000       101570.000000       101560.000000       101580.000000       101630.000000       101660.000000       101630.000000       101640.000000       101550.000000       101450.000000       101370.000000       101370.000000       101440.000000       101540.000000       101540.000000       101400.000000       101210.000000       101080.000000       101080.000000       101190.000000       101350.000000       101480.000000       101560.000000       101560.000000       100830.000000       100830.000000       100820.000000       100820.000000       100860.000000       100920.000000       100950.000000       100880.000000       100700.000000       100510.000000       100460.000000       100610.000000       100890.000000       101160.000000       101350.000000       101440.000000       101460.000000       100030.000000       100070.000000       100110.000000       100160.000000       100250.000000       100360.000000       100440.000000       100360.000000       100100.000000        99880.000000        99920.000000       100200.000000       100610.000000       100960.000000       101140.000000       101210.000000       101240.000000
       101440.000000       101400.000000       101390.000000       101520.000000       101580.000000       101540.000000       101540.000000       101620.000000       101650.000000       101550.000000       101370.000000       101200.000000       101100.000000       101130.000000       101130.000000       100890.000000       100610.000000       101510.000000       101560.000000       101630.000000       101850.000000       101950.000000       101870.000000       101810.000000       101800.000000       101710.000000       101540.000000       101340.000000       101160.000000       101100.000000       101170.000000       101140.000000       100790.000000       100410.000000       101560.000000       101600.000000       101780.000000       102010.000000       102030.000000       101940.000000       101810.000000       101740.000000       101720.000000       101630.000000       101450.000000       101290.000000       101280.000000       101340.000000       101270.000000       101010.000000       100720.000000       101490.000000       101540.000000       101720.000000       101900.000000       101950.000000       101870.000000       101720.000000       101650.000000       101690.000000       101660.000000       101530.000000       101520.000000       101600.000000       101550.000000       101410.000000       101370.000000       101290.000000       101710.000000       101820.000000       101980.000000       102100.000000       102130.000000       102090.000000       101950.000000       101800.000000       101690.000000       101590.000000       101540.000000       101560.000000       101550.000000       101450.000000       101350.000000       101340.000000       101370.000000       102250.000000       102340.000000       102370.000000       102350.000000       102310.000000       102240.000000       102120.000000       101990.000000       101880.000000       101730.000000       101520.000000       101350.000000       101200.000000       101070.000000       101040.000000       101030.000000       101000.000000       102550.000000       102590.000000       102530.000000       102400.000000       102290.000000       102230.000000       102140.000000       101970.000000       101780.000000       101610.000000       101440.000000       101210.000000       100930.000000       100710.000000       100620.000000       100610.000000       100650.000000       102560.000000       102540.000000       102430.000000       102290.000000       102190.000000       102130.000000       102020.000000       101800.000000       101530.000000       101300.000000       101130.000000       100940.000000       100680.000000       100400.000000       100170.000000       100060.000000       100140.000000       102320.000000       102280.000000       102150.000000       101980.000000       101820.000000       101650.000000       101460.000000       101230.000000       100960.000000       100700.000000       100460.000000       100260.000000       100090.000000        99920.000000        99740.000000        99630.000000        99710.000000       101800.000000       101710.000000       101550.000000       101370.000000       101180.000000       100980.000000       100760.000000       100510.000000       100230.000000        99940.000000        99650.000000        99460.000000        99380.000000        99390.000000        99390.000000        99410.000000        99530.000000       101160.000000       101010.000000       100800.000000       100610.000000       100510.000000       100460.000000       100390.000000       100240.000000        99940.000000        99560.000000        99250.000000        99080.000000        99060.000000        99140.000000        99240.000000        99350.000000        99510.000000
       101420.000000       101280.000000       101110.000000       101050.000000       101070.000000       101180.000000       101340.000000       101450.000000       101520.000000       101490.000000       101360.000000       101230.000000       101140.000000       101140.000000       101090.000000       100880.000000       100700.000000       101340.000000       101340.000000       101330.000000       101410.000000       101430.000000       101460.000000       101560.000000       101620.000000       101550.000000       101450.000000       101350.000000       101250.000000       101160.000000       101080.000000       100950.000000       100670.000000       100450.000000       101270.000000       101290.000000       101430.000000       101620.000000       101590.000000       101490.000000       101410.000000       101390.000000       101420.000000       101360.000000       101260.000000       101220.000000       101230.000000       101170.000000       101000.000000       100760.000000       100560.000000       101350.000000       101330.000000       101310.000000       101350.000000       101400.000000       101340.000000       101200.000000       101180.000000       101260.000000       101270.000000       101240.000000       101380.000000       101510.000000       101360.000000       101050.000000       100890.000000       100760.000000       101280.000000       101340.000000       101300.000000       101280.000000       101360.000000       101470.000000       101460.000000       101370.000000       101290.000000       101260.000000       101390.000000       101630.000000       101680.000000       101400.000000       101050.000000       100850.000000       100760.000000       101070.000000       101240.000000       101360.000000       101440.000000       101580.000000       101720.000000       101780.000000       101780.000000       101740.000000       101670.000000       101630.000000       101600.000000       101460.000000       101240.000000       101090.000000       100940.000000       100710.000000       101230.000000       101380.000000       101580.000000       101740.000000       101900.000000       102000.000000       102020.000000       101990.000000       101930.000000       101840.000000       101710.000000       101500.000000       101240.000000       101040.000000       100940.000000       100800.000000       100570.000000       101550.000000       101650.000000       101740.000000       101840.000000       101950.000000       102030.000000       102050.000000       101960.000000       101770.000000       101550.000000       101320.000000       101080.000000       100790.000000       100510.000000       100270.000000       100100.000000       100030.000000       101540.000000       101680.000000       101760.000000       101810.000000       101850.000000       101860.000000       101810.000000       101660.000000       101400.000000       101080.000000       100780.000000       100520.000000       100240.000000        99920.000000        99610.000000        99400.000000        99370.000000       101520.000000       101640.000000       101700.000000       101690.000000       101630.000000       101510.000000       101330.000000       101100.000000       100850.000000       100610.000000       100410.000000       100230.000000       100020.000000        99740.000000        99400.000000        99100.000000        98950.000000       101470.000000       101450.000000       101370.000000       101260.000000       101150.000000       101050.000000       100950.000000       100810.000000       100630.000000       100490.000000       100410.000000       100320.000000       100170.000000        99940.000000        99630.000000        99340.000000        99160.000000
       101340.000000       101340.000000       101170.000000       100980.000000       100950.000000       101090.000000       101260.000000       101370.000000       101500.000000       101640.000000       101680.000000       101610.000000       101490.000000       101430.000000       101310.000000       101060.000000       100840.000000       101310.000000       101270.000000       101100.000000       101020.000000       101030.000000       101060.000000       101160.000000       101340.000000       101470.000000       101550.000000       101580.000000       101540.000000       101470.000000       101410.000000       101300.000000       101000.000000       100700.000000       101210.000000       101090.000000       101020.000000       101110.000000       101170.000000       101180.000000       101240.000000       101340.000000       101410.000000       101420.000000       101430.000000       101480.000000       101530.000000       101530.000000       101440.000000       101250.000000       101030.000000       101120.000000       100980.000000       100940.000000       100970.000000       101080.000000       101190.000000       101270.000000       101340.000000       101400.000000       101410.000000       101400.000000       101500.000000       101640.000000       101630.000000       101500.000000       101480.000000       101450.000000       101110.000000       100920.000000       100760.000000       100710.000000       100780.000000       100970.000000       101150.000000       101270.000000       101360.000000       101410.000000       101460.000000       101590.000000       101660.000000       101570.000000       101440.000000       101420.000000       101450.000000       101090.000000       100900.000000       100740.000000       100690.000000       100760.000000       100910.000000       101060.000000       101210.000000       101380.000000       101480.000000       101500.000000       101520.000000       101530.000000       101440.000000       101310.000000       101180.000000       101050.000000       100900.000000       100830.000000       100770.000000       100780.000000       100880.000000       101040.000000       101180.000000       101290.000000       101420.000000       101510.000000       101530.000000       101500.000000       101400.000000       101260.000000       101090.000000       100900.000000       100700.000000       100580.000000       100490.000000       100410.000000       100440.000000       100640.000000       100950.000000       101250.000000       101430.000000       101500.000000       101520.000000       101500.000000       101410.000000       101210.000000       100980.000000       100760.000000       100540.000000       100320.000000       100360.000000       100260.000000       100210.000000       100330.000000       100670.000000       101090.000000       101410.000000       101530.000000       101490.000000       101400.000000       101300.000000       101160.000000       100930.000000       100660.000000       100390.000000       100090.000000        99790.000000       100420.000000       100420.000000       100490.000000       100680.000000       100980.000000       101230.000000       101330.000000       101250.000000       101130.000000       101050.000000       101020.000000       100930.000000       100760.000000       100500.000000       100200.000000        99880.000000        99590.000000       100780.000000       100810.000000       100860.000000       100970.000000       101110.000000       101200.000000       101180.000000       101050.000000       100910.000000       100860.000000       100890.000000       100890.000000       100780.000000       100590.000000       100340.000000       100100.000000        99890.000000
       101480.000000       101390.000000       101170.000000       101040.000000       101120.000000       101270.000000       101310.000000       101390.000000       101630.000000       101840.000000       101900.000000       101880.000000       101810.000000       101820.000000       101760.000000       101480.000000       101220.000000       101430.000000       101320.000000       101130.000000       101080.000000       101160.000000       101210.000000       101200.000000       101350.000000       101640.000000       101840.000000       101860.000000       101790.000000       101740.000000       101730.000000       101670.000000       101420.000000       101190.000000       101340.000000       101100.000000       101010.000000       101100.000000       101230.000000       101330.000000       101380.000000       101480.000000       101640.000000       101780.000000       101820.000000       101800.000000       101750.000000       101710.000000       101660.000000       101610.000000       101520.000000       101490.000000       101340.000000       101290.000000       101280.000000       101350.000000       101520.000000       101660.000000       101710.000000       101750.000000       101770.000000       101730.000000       101730.000000       101760.000000       101700.000000       101640.000000       101720.000000       101730.000000       101710.000000       101710.000000       101690.000000       101580.000000       101430.000000       101430.000000       101540.000000       101630.000000       101680.000000       101630.000000       101530.000000       101520.000000       101600.000000       101640.000000       101620.000000       101610.000000       101660.000000       101690.000000       101690.000000       101690.000000       101610.000000       101440.000000       101290.000000       101210.000000       101200.000000       101270.000000       101310.000000       101280.000000       101340.000000       101510.000000       101610.000000       101580.000000       101460.000000       101370.000000       101650.000000       101560.000000       101490.000000       101390.000000       101250.000000       101100.000000       100930.000000       100770.000000       100760.000000       100890.000000       101070.000000       101260.000000       101450.000000       101560.000000       101520.000000       101360.000000       101160.000000       101530.000000       101390.000000       101210.000000       101030.000000       100860.000000       100660.000000       100440.000000       100290.000000       100320.000000       100550.000000       100890.000000       101200.000000       101420.000000       101520.000000       101500.000000       101320.000000       101030.000000       101170.000000       101020.000000       100850.000000       100690.000000       100520.000000       100320.000000       100160.000000       100130.000000       100270.000000       100580.000000       100930.000000       101220.000000       101390.000000       101420.000000       101310.000000       101090.000000       100810.000000       100790.000000       100570.000000       100350.000000       100170.000000       100030.000000        99950.000000        99960.000000       100110.000000       100390.000000       100710.000000       100980.000000       101170.000000       101250.000000       101210.000000       101100.000000       100960.000000       100800.000000       100640.000000       100410.000000       100170.000000        99990.000000        99920.000000        99960.000000       100120.000000       100360.000000       100580.000000       100760.000000       100930.000000       101060.000000       101120.000000       101110.000000       101040.000000       100950.000000       100850.000000
       101990.000000       101920.000000       101870.000000       101760.000000       101660.000000       101670.000000       101610.000000       101570.000000       101750.000000       101980.000000       102070.000000       102030.000000       101920.000000       101820.000000       101650.000000       101370.000000       101190.000000       102100.000000       101960.000000       101800.000000       101690.000000       101650.000000       101640.000000       101610.000000       101690.000000       101880.000000       102020.000000       101980.000000       101850.000000       101740.000000       101690.000000       101620.000000       101420.000000       101290.000000       102030.000000       101810.000000       101660.000000       101570.000000       101570.000000       101630.000000       101690.000000       101780.000000       101910.000000       102000.000000       101950.000000       101820.000000       101720.000000       101680.000000       101660.000000       101620.000000       101610.000000       101820.000000       101590.000000       101490.000000       101430.000000       101470.000000       101670.000000       101850.000000       101900.000000       101880.000000       101870.000000       101830.000000       101820.000000       101820.000000       101740.000000       101630.000000       101730.000000       101800.000000       101830.000000       101700.000000       101630.000000       101540.000000       101470.000000       101610.000000       101820.000000       101870.000000       101800.000000       101720.000000       101680.000000       101690.000000       101720.000000       101680.000000       101600.000000       101640.000000       101790.000000       102070.000000       102040.000000       101990.000000       101890.000000       101770.000000       101740.000000       101770.000000       101790.000000       101820.000000       101800.000000       101650.000000       101520.000000       101460.000000       101400.000000       101360.000000       101400.000000       101530.000000       102160.000000       102160.000000       102150.000000       102110.000000       102070.000000       102040.000000       101960.000000       101800.000000       101680.000000       101620.000000       101560.000000       101460.000000       101320.000000       101180.000000       101090.000000       101140.000000       101300.000000       102070.000000       102130.000000       102110.000000       102070.000000       102060.000000       102060.000000       101990.000000       101800.000000       101570.000000       101430.000000       101390.000000       101350.000000       101220.000000       101040.000000       100930.000000       100980.000000       101140.000000       101870.000000       102040.000000       102050.000000       101980.000000       101910.000000       101820.000000       101660.000000       101430.000000       101180.000000       101020.000000       100950.000000       100860.000000       100710.000000       100580.000000       100600.000000       100760.000000       100940.000000       101640.000000       101850.000000       101890.000000       101820.000000       101660.000000       101380.000000       100980.000000       100560.000000       100250.000000       100140.000000       100180.000000       100210.000000       100210.000000       100270.000000       100460.000000       100740.000000       100930.000000       101420.000000       101630.000000       101670.000000       101580.000000       101380.000000       101050.000000       100630.000000       100230.000000        99990.000000        99990.000000       100140.000000       100290.000000       100400.000000       100500.000000       100660.000000       100850.000000       100960.000000
       102110.000000       101960.000000       101750.000000       101600.000000       101570.000000       101610.000000       101590.000000       101630.000000       101800.000000       101880.000000       101830.000000       101690.000000       101510.000000       101350.000000       101230.000000       101070.000000       100970.000000       102130.000000       101840.000000       101610.000000       101600.000000       101700.000000       101740.000000       101740.000000       101800.000000       101870.000000       101880.000000       101760.000000       101550.000000       101360.000000       101270.000000       101220.000000       101050.000000       100930.000000       102130.000000       101810.000000       101660.000000       101670.000000       101680.000000       101690.000000       101740.000000       101830.000000       101860.000000       101830.000000       101730.000000       101560.000000       101420.000000       101370.000000       101320.000000       101210.000000       101110.000000       102180.000000       102060.000000       101950.000000       101820.000000       101710.000000       101680.000000       101720.000000       101760.000000       101770.000000       101710.000000       101610.000000       101600.000000       101630.000000       101560.000000       101370.000000       101290.000000       101220.000000       102090.000000       102040.000000       101910.000000       101820.000000       101730.000000       101680.000000       101660.000000       101660.000000       101670.000000       101630.000000       101560.000000       101570.000000       101590.000000       101520.000000       101380.000000       101240.000000       101200.000000       101950.000000       101900.000000       101790.000000       101730.000000       101720.000000       101700.000000       101690.000000       101730.000000       101820.000000       101780.000000       101580.000000       101420.000000       101300.000000       101200.000000       101170.000000       101170.000000       101110.000000       101910.000000       101920.000000       101880.000000       101900.000000       101980.000000       102050.000000       102060.000000       102020.000000       101960.000000       101880.000000       101760.000000       101590.000000       101370.000000       101170.000000       101100.000000       101110.000000       101080.000000       101820.000000       101930.000000       101980.000000       102090.000000       102250.000000       102370.000000       102380.000000       102260.000000       102060.000000       101870.000000       101700.000000       101530.000000       101310.000000       101110.000000       100990.000000       100950.000000       100920.000000       101730.000000       101890.000000       101990.000000       102140.000000       102340.000000       102450.000000       102400.000000       102210.000000       101950.000000       101670.000000       101400.000000       101140.000000       100920.000000       100790.000000       100740.000000       100710.000000       100690.000000       101660.000000       101890.000000       102050.000000       102230.000000       102390.000000       102420.000000       102280.000000       102040.000000       101790.000000       101600.000000       101430.000000       101270.000000       101130.000000       101030.000000       100970.000000       100920.000000       100870.000000       101540.000000       101800.000000       102020.000000       102230.000000       102390.000000       102440.000000       102370.000000       102160.000000       101930.000000       101770.000000       101700.000000       101650.000000       101550.000000       101420.000000       101300.000000       101210.000000       101150.000000
       102190.000000       102050.000000       101870.000000       101640.000000       101500.000000       101550.000000       101570.000000       101530.000000       101550.000000       101580.000000       101530.000000       101400.000000       101210.000000       101100.000000       101020.000000       100800.000000       100590.000000       102180.000000       101920.000000       101690.000000       101560.000000       101560.000000       101630.000000       101670.000000       101640.000000       101590.000000       101560.000000       101480.000000       101310.000000       101140.000000       101050.000000       100950.000000       100710.000000       100490.000000       102140.000000       101780.000000       101490.000000       101440.000000       101520.000000       101600.000000       101600.000000       101560.000000       101510.000000       101450.000000       101370.000000       101280.000000       101220.000000       101130.000000       100990.000000       100820.000000       100690.000000       102090.000000       101930.000000       101740.000000       101650.000000       101600.000000       101500.000000       101390.000000       101340.000000       101340.000000       101300.000000       101270.000000       101360.000000       101430.000000       101270.000000       101050.000000       101020.000000       100950.000000       101800.000000       101930.000000       101970.000000       101940.000000       101840.000000       101640.000000       101460.000000       101390.000000       101340.000000       101280.000000       101330.000000       101510.000000       101540.000000       101340.000000       101160.000000       101140.000000       101050.000000       101440.000000       101740.000000       101920.000000       101890.000000       101750.000000       101580.000000       101470.000000       101450.000000       101490.000000       101470.000000       101460.000000       101520.000000       101510.000000       101350.000000       101210.000000       101120.000000       100920.000000       101120.000000       101480.000000       101690.000000       101640.000000       101520.000000       101480.000000       101490.000000       101520.000000       101600.000000       101660.000000       101670.000000       101650.000000       101560.000000       101390.000000       101190.000000       101000.000000       100800.000000       100980.000000       101370.000000       101620.000000       101690.000000       101720.000000       101780.000000       101840.000000       101860.000000       101880.000000       101890.000000       101860.000000       101750.000000       101560.000000       101330.000000       101100.000000       100940.000000       100820.000000       100990.000000       101320.000000       101620.000000       101850.000000       102030.000000       102130.000000       102170.000000       102150.000000       102110.000000       102070.000000       102010.000000       101880.000000       101680.000000       101450.000000       101230.000000       101080.000000       100960.000000       101090.000000       101360.000000       101650.000000       101940.000000       102140.000000       102240.000000       102260.000000       102230.000000       102200.000000       102170.000000       102110.000000       102000.000000       101860.000000       101710.000000       101550.000000       101410.000000       101270.000000       101300.000000       101570.000000       101830.000000       102060.000000       102210.000000       102280.000000       102280.000000       102230.000000       102170.000000       102120.000000       102070.000000       102000.000000       101900.000000       101790.000000       101680.000000       101590.000000       101510.000000
       101980.000000       101790.000000       101620.000000       101460.000000       101350.000000       101370.000000       101380.000000       101310.000000       101270.000000       101310.000000       101330.000000       101300.000000       101200.000000       101150.000000       101070.000000       100830.000000       100650.000000       101950.000000       101650.000000       101400.000000       101320.000000       101340.000000       101410.000000       101460.000000       101400.000000       101260.000000       101180.000000       101170.000000       101100.000000       100980.000000       100960.000000       100980.000000       100800.000000       100590.000000       101900.000000       101490.000000       101290.000000       101350.000000       101410.000000       101410.000000       101330.000000       101230.000000       101130.000000       101060.000000       101030.000000       101040.000000       101040.000000       101040.000000       101030.000000       100940.000000       100820.000000       102130.000000       101880.000000       101770.000000       101800.000000       101740.000000       101500.000000       101210.000000       101050.000000       101090.000000       101110.000000       101090.000000       101160.000000       101270.000000       101240.000000       101160.000000       101180.000000       101200.000000       102340.000000       102220.000000       102060.000000       101940.000000       101850.000000       101660.000000       101380.000000       101230.000000       101250.000000       101290.000000       101310.000000       101370.000000       101380.000000       101300.000000       101260.000000       101270.000000       101250.000000       102340.000000       102260.000000       102080.000000       101920.000000       101820.000000       101720.000000       101570.000000       101440.000000       101420.000000       101450.000000       101430.000000       101410.000000       101370.000000       101300.000000       101260.000000       101170.000000       100990.000000       102200.000000       102080.000000       101900.000000       101750.000000       101660.000000       101590.000000       101500.000000       101400.000000       101390.000000       101460.000000       101510.000000       101480.000000       101400.000000       101310.000000       101230.000000       101080.000000       100860.000000       101920.000000       101730.000000       101540.000000       101470.000000       101490.000000       101510.000000       101530.000000       101570.000000       101670.000000       101740.000000       101730.000000       101610.000000       101440.000000       101300.000000       101190.000000       101060.000000       100910.000000       101680.000000       101500.000000       101400.000000       101470.000000       101630.000000       101760.000000       101850.000000       101910.000000       101960.000000       101950.000000       101860.000000       101710.000000       101540.000000       101390.000000       101270.000000       101140.000000       101010.000000       101510.000000       101440.000000       101470.000000       101650.000000       101870.000000       102010.000000       102060.000000       102060.000000       102040.000000       102010.000000       101950.000000       101830.000000       101690.000000       101530.000000       101390.000000       101260.000000       101140.000000       101430.000000       101490.000000       101630.000000       101840.000000       102060.000000       102210.000000       102240.000000       102160.000000       102070.000000       102040.000000       102050.000000       101990.000000       101860.000000       101680.000000       101520.000000       101430.000000       101350.000000
       101750.000000       101570.000000       101420.000000       101310.000000       101270.000000       101340.000000       101370.000000       101340.000000       101330.000000       101390.000000       101410.000000       101400.000000       101350.000000       101370.000000       101310.000000       101050.000000       100820.000000       101690.000000       101440.000000       101220.000000       101220.000000       101330.000000       101420.000000       101400.000000       101300.000000       101250.000000       101280.000000       101270.000000       101190.000000       101150.000000       101230.000000       101250.000000       101020.000000       100750.000000       101570.000000       101270.000000       101120.000000       101280.000000       101390.000000       101390.000000       101320.000000       101210.000000       101160.000000       101160.000000       101130.000000       101100.000000       101160.000000       101250.000000       101270.000000       101170.000000       101010.000000       101420.000000       101250.000000       101150.000000       101260.000000       101360.000000       101330.000000       101230.000000       101140.000000       101130.000000       101150.000000       101150.000000       101240.000000       101340.000000       101350.000000       101300.000000       101340.000000       101350.000000       101240.000000       101370.000000       101370.000000       101350.000000       101350.000000       101320.000000       101260.000000       101230.000000       101240.000000       101290.000000       101380.000000       101470.000000       101480.000000       101430.000000       101380.000000       101360.000000       101360.000000       101050.000000       101430.000000       101540.000000       101510.000000       101460.000000       101430.000000       101390.000000       101370.000000       101390.000000       101440.000000       101470.000000       101490.000000       101480.000000       101440.000000       101390.000000       101240.000000       101070.000000       100920.000000       101340.000000       101530.000000       101570.000000       101600.000000       101630.000000       101590.000000       101460.000000       101360.000000       101360.000000       101410.000000       101440.000000       101400.000000       101350.000000       101260.000000       101080.000000       100910.000000       100970.000000       101360.000000       101530.000000       101560.000000       101540.000000       101520.000000       101500.000000       101460.000000       101450.000000       101480.000000       101520.000000       101510.000000       101430.000000       101320.000000       101200.000000       101060.000000       100950.000000       101140.000000       101370.000000       101440.000000       101400.000000       101330.000000       101330.000000       101400.000000       101520.000000       101600.000000       101610.000000       101590.000000       101540.000000       101450.000000       101330.000000       101190.000000       101060.000000       100990.000000       101310.000000       101360.000000       101390.000000       101410.000000       101440.000000       101500.000000       101580.000000       101640.000000       101650.000000       101620.000000       101580.000000       101520.000000       101450.000000       101330.000000       101210.000000       101130.000000       101110.000000       101480.000000       101570.000000       101640.000000       101680.000000       101700.000000       101680.000000       101630.000000       101560.000000       101540.000000       101580.000000       101630.000000       101610.000000       101520.000000       101390.000000       101270.000000       101230.000000       101240.000000
